X,Y,OBJECTID,BUSINESS_ID,NAME,ADDRESS,CITY,STATE,POSTAL_CODE,LATITUDE,LONGITUDE,PHONE_NUMBER,SHAPE
2112605.07376181,770140.179071635,4003695,03D0B869-9790-0CB6-E27EB9965164CF3C,TRIBECA TAVERN,6004 FALLS OF NEUSE  RD ,RALEIGH,NC,27609,35.86546174,-78.61995256,19197909992,
2069522.62514998,737027.071085379,4003696,03D87387-B1D6-0FC2-D98EF338C873D571,Primo Pizza NY Style,682 CARY TOWNE BLVD ,CARY,NC,27511,35.77485801,-78.76562102,19193802729,
2107128.71660431,737221.466365874,4003697,03EAC77E-F639-BDD0-9AEA1321571A2A41,"""HARVEST SUNDRIES &amp; DELI""",411 FAYETTEVILLE ST ,RALEIGH,NC,27601,35.77508217,-78.63883957,19198329720,
2112057.26678656,780928.972126544,4003698,0437B855-D417-62F4-46391C43BC92F92A,Antonio's Gourmet Market & Papas,8460-112 HONEYCUTT RD ,RALEIGH,NC,27615,35.89510631,-78.62166264,111111919887,
2092257.24339457,740551.723484874,4003699,04551FB6-5056-A20B-FA6FAC0A59E74340,DUNKIN' DONUTS #348417,3817 WESTERN BLVD ,RALEIGH,NC,27606,35.78436967,-78.68893987,19198586501,
2094037.78314057,782101.484873384,4003700,04C66772-F34C-47FE-DF7C7422B3AAD872,BOTTLE MIXX,8111 CREEDMOOR RD ,RALEIGH,NC,27613,35.8985009,-78.68248846,19196151703,
2144932.32013081,811065.880684629,4003701,04CC8E58-9ACE-3DC6-F01DF61775A1CB9E,WHITE STREET BREWING CO,218 S WHITE ST ,WAKE FOREST,NC,27587,35.9775012,-78.51016659,19196479439,
2099786.28936006,741487.606783718,4003702,04D9B05A-C331-5A52-99122FA35457268C,CAFE SOO,2106  HILLSBOROUGH ST ,RALEIGH,NC,27607,35.78687334,-78.66354397,19198342244,
2127464.51976465,746538.136052713,4003703,04DDFEB1-D595-D3B0-5236A77C1D38FC6E,FOUR BROTHERS PIZZA,3919 NEW BERN AVE ,RALEIGH,NC,27610,35.800455,-78.57014675,19192310003,
2184407.68114056,743924.031700879,4003704,04E30B2B-A07E-2422-F0D9EDF0B772198B,WENDELL MART,2901 WENDELL BLVD ,WENDELL,NC,27591,35.79244475,-78.37817471,19193656686,
2075947.47712965,741900.846770883,4003705,04E10D16-9130-8BD5-E43CEB3D7DE37DC5,Sukhadia's Indian Cuisine,6715 Hillsborough Street,RALEIGH,NC,27606,35.78820409,-78.74391886,19193891200,
2048881.62574965,712196.518384382,4003706,04EDD59D-EE66-E1B1-0B60F2C425C9662E,SUBWAY,1561 E WILLIAMS ST ,APEX,NC,27539,35.70675427,-78.83534593,19193677785,
2145355.37604323,809862.691489965,4003707,04F3E596-B231-1D03-93F1694D92A5F804,BROOKS STREET BOWL,413 BROOKS  ST ,WAKE FOREST,NC,27587,35.97419021,-78.50875692,19194881651,
2087085.57296364,768336.41332221,4003708,04F99854-009D-5139-7286AC66B1ED4DAF,DICKEY'S BARBECUE PIT #413,6552 GLENWOOD  AVE ,RALEIGH,NC,27612,35.8607444,-78.70609953,19194363995,
2106718.60325131,759726.136251464,4003709,05008F2F-FCE8-88F4-5F095F39D806CD3D,THE YARD HOUSE #41,4208 SIX FORKS  RD ,RALEIGH,NC,27609,35.83691241,-78.63994698,19198812590,
2146571.60326956,799113.30255571,4003710,0579154B-C7A1-D375-27348090C7400D84,One Whirled Cafe,3652 Rogers Road,WAKE FOREST,NC,27587,35.94464405,-78.50482784,19195621118,
2112057.26678656,780928.972126544,4003711,05B2BE11-058B-AB3D-017B2DEC467345CE,Crafty Beer Shop,8450 Honeycutt Road,RALEIGH,NC,27615,35.89510631,-78.62166264,19197030874,
2084190.73164047,772098.720758215,4003712,05FC4828-D045-412A-668B9DA54E40F115,FLYING BURRITO,4800 GROVE BARTON RD ,RALEIGH,NC,27613,35.8711034,-78.71583278,19197852734,
2054333.35500364,747802.117776722,4003713,0602A9F6-C40F-A0C9-46C8CFDD00DA960D,"""RUCKUS PIZZA PASTA &amp; SPIRITS #3""",1101 MARKET CENTER  DR ,MORRISVILLE,NC,27560,35.80454792,-78.81676084,19193883500,
2136346.8356614,773546.155855462,4003714,06051288-0BE6-6884-8493B3CB6CA929B8,China Wok,7440-143 Louisburg RD ,RALEIGH,NC,27616,35.87454257,-78.53977075,19198629898,
2067156.69615482,669735.539658219,4003715,06120DD7-0E13-3205-5876E4A445033F6F,COMFORT INN FUQUAY VARINA BREAKFAST,7616 PURFOY RD ,FUQUAY VARINA,NC,27526,35.58999797,-78.77411336,19195579000,
2033844.22045706,766965.425578624,4003716,061DBBC8-951E-4450-FE2D44BF5214156E,NET APP CAFE BLDG3,7301 KIT CREEK RD ,MORRISVILLE,NC,27560,35.85727866,-78.88578599,19194765671,
2100757.04365215,742617.785953805,4003717,062A6A30-E1F1-135E-559A847185DBD6FB,SUGARLAND,2031 CAMERON ST ,RALEIGH,NC,27605,35.78996917,-78.6602578,19198352100,
2046123.60337856,717322.127883792,4003718,065B70C3-5056-A20B-FA23A6C8033B0DD7,HWY 55 OF APEX,802 PERRY RD ,APEX,NC,27502,35.72084835,-78.84460908,19193033533,
2145336.39084499,780524.526085049,4003719,0686332A-1422-201B-1921E27F28651CDF,Subway #41217,8410-140 Louisburg RD ,RALEIGH,NC,27616,35.89359506,-78.50931118,19192660300,
2049643.89948757,686079.58078897,4003720,06CE930F-1422-201B-19E1DA19BBC31B7C,Michelangelos,7280 GB Alford  HWY ,HOLLY SPRINGS,NC,27540,35.63499737,-78.83292633,19195574992,
2138196.77651532,800300.888763219,4003721,079E6726-EAF9-7770-92537BA708A7D696,Mackey's Pub,2101 S Main  ST ,WAKE FOREST ,NC,27587,35.94801797,-78.53310175,19195625570,
2075506.25294648,733599.217704877,4003722,07AF62B1-CFE4-B82A-57CE42A324E9E64E,POLAR ICE HOUSE,1410 BUCK JONES RD ,RALEIGH,NC,27606,35.76540019,-78.74547835,19194602756,
2033632.75500073,726146.834315717,4003723,05781571-D58F-1EE2-DB40597F49D3EEEB,SLICE OF NY PIZZA,2045 CREEKSIDE LANDING DR ,APEX,NC,27502,35.74513927,-78.8866569,19193870500,
2065066.85650247,723733.284352794,4003724,082054EE-036C-19FC-4F864F10D111D508,TGI Friday's,2002 Kildaire Farm RD ,CARY,NC,27511,35.73836377,-78.78074152,19192338883,
2101972.12717998,739182.50837554,4003725,087D3E93-D57B-FAA4-E8C47A3916C49EDA,The Grille At Goodnight's & Goodnight's Comedy Club,861 W Morgan ST ,RALEIGH,NC,27603,35.78052001,-78.65620081,111111111111111,
2058555.20515573,756521.829996049,4003726,085BF69A-3048-983B-2641CA581B73E5BF,FLIK INTERNATIONAL AT FIDELITY,11000 WESTON PKY ,CARY,NC,27513,35.82848101,-78.80246418,19194589264,
2142540.52209289,731448.614394546,4003727,08B080BE-95E8-63F4-3A3FB5E8F57CEE9F,Carillon Assisted Living of Knightdale Dining,2408  HODGE RD ,KNIGHTDALE,NC,27545,35.75881008,-78.51955243,19192666676,
2108527.09405689,742229.537714541,4003728,08BE77F0-BD78-5B44-23A13EBF2F5FB0C4,PIEBIRD,618 N PERSON ST ,RALEIGH,NC,27604,35.78882667,-78.63406305,19195087612,
2104481.71599281,775636.347213134,4003729,08A5D2BA-3048-9838-FC96F889B762BA98,Rush Lounge,7361 SIX FORKS RD ,RALEIGH,NC,27615,35.88064315,-78.64730313,19198484782,
2048531.33019039,695531.850926384,4003730,08FB1466-DF49-AD63-9BAD02404B09A9C0,SUBWAY #50592,601 N MAIN ST ,HOLLY SPRINGS,NC,27545,35.6609717,-78.83661826,19195574411,
2073755.21346956,752559.342842296,4003731,08C8DB62-F40E-0251-F00B00951468069F,SAS BUILDING C CAFE,820 SAS CAMPUS DR ,CARY,NC,27513,35.81750117,-78.75122068,19195318651,
2156818.67923206,788915.000445798,4003732,09001E9C-D5DC-8D29-3B8577684E81ADD8,ANZIO'S PIZZA,252 SOUTHTOWN CIR ,ROLESVILLE,NC,27571,35.91648281,-78.47039393,19195548881,
2143433.92450556,801318.852278471,4003733,09064FBA-F51A-70A9-5EF49F9709F54CDC,THAI CAFE #2,3309 ROGERS RD ,WAKE FOREST,NC,27587,35.95074547,-78.51539151,19194531679,
2130658.43562089,745932.854126796,4003734,0955966E-B707-AD2C-284027D6708858FD,El Tapatio #4,4511 New Bern AVE,RALEIGH,NC,27610,35.79875367,-78.55938499,19192559161,
2042379.3995809,760014.908639804,4003735,09C7AEAE-E078-149F-E8394F82D33BE4FC,Wendy's #11610583,4023 Davis DR,MORRISVILLE,NC,27560,35.83815358,-78.85701615,19194603966,
2042054.95272323,759094.220520541,4003736,09CD5F39-BB6A-3A29-5521E52514E45641,Red Dragon,4051 Davis DR,MORRISVILLE,NC,27560,35.8356255,-78.85811524,19193881836,
