OBJECTID,BUSINESS_ID,SCORE,DATE_,DESCRIPTION,TYPE
39073509,65806D9F-B753-159A-B17080BE2280AF10,88,2013/04/12 00:00:00+00,,routine
39073510,1396FDA8-1749-1448-B4D48A3C3364F60B,88,2013/05/10 00:00:00+00,,routine
39073511,503946,90,2012/11/13 00:00:00+00,,routine
39073512,CE9D7EC4-11C7-153B-1A8BA6ABC0E5AF53,90,2012/12/13 00:00:00+00,,routine
39073513,497995,90,2012/12/14 00:00:00+00,,routine
39073514,501977,90,2013/10/30 00:00:00+00,,routine
39073515,133A8A6C-1657-ECA0-18E0DBA732B14C1E,90,2013/11/13 00:00:00+00,,routine
39073516,117AA727-1100-178D-CBD6C473451776C6,90,2013/11/14 00:00:00+00,,routine
39073517,4C7A1F18-E856-BEFA-5743DF43F06BDF3C,92,2013/06/20 00:00:00+00,,routine
39073518,500463,90,2013/02/21 00:00:00+00,,routine
39073519,A48B1658-1911-F777-1A65E2226FDBC1BD,90,2013/02/21 00:00:00+00,,followup
39073520,509028,90,2013/03/04 00:00:00+00,,followup
39073521,28F92D5D-D180-6A0F-90A902D7D37731F3,90,2013/03/06 00:00:00+00,,routine
39073522,23B35F51-D2BB-C01D-18F3EDE60D69640F,90,2013/03/18 00:00:00+00,,routine
39073523,496653,90,2013/03/19 00:00:00+00,,routine
39073524,495040,90,2013/04/05 00:00:00+00,,routine
39073525,502045,90,2013/04/09 00:00:00+00,,routine
39073526,9711E454-DF9E-8A93-B12A486CF9E69836,90,2013/04/16 00:00:00+00,,routine
39073527,3E488BE4-EA58-EBB5-0F1B2A6C024A1D18,90,2013/04/23 00:00:00+00,,routine
39073528,CE9D7EC4-11C7-153B-1A8BA6ABC0E5AF53,90,2013/06/25 00:00:00+00,,routine
39073529,498419,90,2013/06/26 00:00:00+00,,routine
39073530,496297,90,2013/07/09 00:00:00+00,,routine
39073531,C8A9D635-1422-201B-19F4DBCC53FD0ACC,90,2013/07/11 00:00:00+00,,routine
39073532,13BD246E-B337-12BD-FF1C160B344A80C4,90,2013/07/12 00:00:00+00,,followup
39073533,3AD2A58F-97B8-AC12-F96F04F971A6A6FA,90,2013/07/16 00:00:00+00,,routine
39073534,12306CA5-5E18-9A9C-845686BB2BA12119,90,2013/07/16 00:00:00+00,,routine
39073535,499619,90,2013/07/18 00:00:00+00,,routine
39073536,28E5CC3E-0727-ABF6-35AD3834FBB39D04,90,2013/07/19 00:00:00+00,,routine
39073537,DA2E05F1-E825-5DC9-92E1ABD1EABB435B,90,2013/07/24 00:00:00+00,,routine
39073538,527864,90,2013/07/29 00:00:00+00,,routine
39073539,6627D70B-9B1C-CA7F-C44C27110BCE7418,90.5,2012/11/14 00:00:00+00,,routine
39073540,1228358E-A6F1-1720-8C3FE2A44EB654E9,90.5,2012/11/21 00:00:00+00,,routine
39073541,495296,90.5,2012/12/06 00:00:00+00,,routine
39073542,DF256C36-CD54-33EE-E8AB3CB7291D6D4C,90.5,2013/01/11 00:00:00+00,,routine
39073543,506948,90.5,2013/02/01 00:00:00+00,,routine
39073544,498855,90.5,2013/03/27 00:00:00+00,,routine
39073545,503946,90.5,2013/04/17 00:00:00+00,,routine
39073546,9A6CC56A-DE31-7C97-CD76CC617B922115,90.5,2013/05/09 00:00:00+00,,routine
39073547,1396FDA8-1749-1448-B4D48A3C3364F60B,90.5,2013/05/31 00:00:00+00,,routine
39073548,EF90D1A4-DDC0-9130-24EC342C1E15879B,90.5,2013/06/04 00:00:00+00,,routine
39073549,498881,90.5,2013/06/06 00:00:00+00,,routine
39073550,503760,90.5,2013/06/14 00:00:00+00,,routine
39073551,501564,90.5,2013/06/25 00:00:00+00,,routine
39073552,501438,92.5,2013/11/12 00:00:00+00,,routine
39073553,419B9495-3048-98E7-04B94981720F4DCA,92.5,2013/11/20 00:00:00+00,,routine
39073554,506935,92.5,2013/12/02 00:00:00+00,,routine
39073555,F7F5D095-5056-A20B-FAF4979727C78E39,96.5,2018/11/19 00:00:00+00,,routine
39073556,496655,96.5,2018/11/19 00:00:00+00,,routine
39073557,501513,96.5,2018/11/19 00:00:00+00,,routine
39073558,4EA56E4F-5056-A20B-FA1FDECC850BED15,96.5,2018/11/19 00:00:00+00,,routine
39073559,4964C3FB-9954-7804-4B21BD0C450E5452,97,2018/11/19 00:00:00+00,,routine
39073560,500627,97,2018/11/19 00:00:00+00,,routine
39073561,7C433793-5056-A20B-FA440E6B3C4B8460,97,2018/11/19 00:00:00+00,,routine
39073562,2F5EC737-5056-A20F-9EBA8C9940B63277,97.5,2018/11/19 00:00:00+00,,routine
39073563,496310,97.5,2018/11/19 00:00:00+00,,routine
39073564,CBBC047B-D49D-09A0-76850528BCD6E53C,97.5,2018/11/19 00:00:00+00,,routine
39073565,502017,97.5,2018/11/19 00:00:00+00,,routine
39073566,F49D453A-3048-9838-60B0C4F8667BE9EE,98,2018/11/19 00:00:00+00,,routine
39073567,496636,98.5,2018/11/19 00:00:00+00,,routine
39073568,C210DA52-5056-A20B-FAEBC0201D2CB027,91,2018/11/20 00:00:00+00,,routine
39073569,7111AA91-C38E-66BB-4885C77719D7819B,92,2018/11/20 00:00:00+00,,routine
39073570,636CA54D-1422-201B-19E76B3D974EEB11,95,2018/11/20 00:00:00+00,,routine
39073571,501348,96,2018/11/20 00:00:00+00,,routine
39073572,501074,96,2018/11/20 00:00:00+00,,routine
39073573,07AF62B1-CFE4-B82A-57CE42A324E9E64E,96,2018/11/20 00:00:00+00,,routine
39073574,6BC8C5E5-9738-A7E9-7194E8CC0328C643,96,2018/11/20 00:00:00+00,,routine
39073575,E5393B69-D3BC-3630-FFFF7EB5C5336273,91.5,2018/11/27 00:00:00+00,,routine
39073576,496147,97,2018/11/20 00:00:00+00,,routine
39073577,4E3C5522-DC6D-2269-BFFA763D21DAF138,97,2018/11/20 00:00:00+00,,routine
39073578,CA9B1C48-E29B-EEC9-691F5D387DF195E1,97,2018/11/20 00:00:00+00,,routine
39073579,950C4FE8-D9B4-FD10-3F9C9ECA1EAFEA76,97.5,2018/11/19 00:00:00+00,,routine
39073580,EB4C5AC7-5056-A20F-9EBA564D4F6C6F7D,97.5,2018/11/20 00:00:00+00,,routine
39073581,6F0731F4-5056-A20B-FA1F9E3C69A5EF50,98,2018/11/20 00:00:00+00,,routine
39073582,7ED3B4E3-0C48-BA51-7DA047580E608266,98,2018/11/20 00:00:00+00,,routine
39073583,7DC63E0F-A7CA-0BFE-50A9C9AA37F5DF54,98,2018/11/20 00:00:00+00,,routine
39073584,666190F8-5056-A20B-FAB6FA202294367A,98,2018/11/20 00:00:00+00,,routine
39073585,97A4E859-9E14-2F5A-28FD40A5EBE2DF3E,98,2018/11/20 00:00:00+00,,routine
39073586,4792D14A-5056-A20B-FAE38C8458910288,98,2018/11/20 00:00:00+00,,routine
39073587,D5399E1E-5056-A20F-9EAEAE51C1FB3FD6,95.5,2019/01/08 00:00:00+00,,routine
39073588,24DFC52B-DF95-E057-F5E86C289DE08AF1,95.5,2019/01/08 00:00:00+00,,routine
39073589,F9AC9635-F6F0-55FC-2345136B10105603,96,2019/01/08 00:00:00+00,,routine
39073590,6522A27C-5056-A20F-9E582AFBA03DB9F6,98.5,2018/11/20 00:00:00+00,,routine
39073591,CF62B2FC-5056-A20B-FA306E816A637DB8,98.5,2018/11/20 00:00:00+00,,routine
39073592,D02493D0-5056-A20B-FA8CFA08B8B4FD87,98.5,2018/11/20 00:00:00+00,,routine
39073593,495202,91,2018/11/29 00:00:00+00,,routine
39073594,02D08C2F-5056-A20F-9EDC776D13E3086F,90,2018/11/29 00:00:00+00,,followup
39073595,D92E3E80-3048-9933-8016F8FD534E7E10,92,2018/11/29 00:00:00+00,,routine
39073596,4DD48454-E096-9B1D-1F9569D81C76345B,92,2018/11/29 00:00:00+00,,routine
39073597,83347587-5056-A20F-9ECBA6007B24703E,93,2018/11/29 00:00:00+00,,routine
39073598,458F62A9-AA75-FFFF-B0ED188A8E5FF14C,97.5,2019/02/14 00:00:00+00,,routine
39073599,501471,97.5,2019/02/14 00:00:00+00,,routine
39073600,61F94469-5056-A20B-FA55E0367F90D86C,99,2018/11/20 00:00:00+00,,routine
39073601,683DD75A-D90B-06DE-AF0C2A94AE9606D3,,2018/11/05 00:00:00+00,,routine
39073602,C5CBE5F9-5056-A20B-FA53389171E7F32A,82,2018/11/26 00:00:00+00,,routine
39073603,846B68F7-5056-A20F-9EEB4409B06C05E5,90,2018/11/26 00:00:00+00,,routine
39073604,B2ECF85C-5056-A20B-FA7DBBF70F85B1A7,91,2018/11/26 00:00:00+00,,routine
39073605,495521,91.5,2018/11/26 00:00:00+00,,routine
39073606,D37DE0F4-FB5D-6A9A-BF9C6645BED54268,93,2018/11/26 00:00:00+00,,routine
39073607,1EEE7FE4-DE79-1BF7-649F593EF1F6A8A5,93.5,2018/11/26 00:00:00+00,,routine
39073608,495278,93.5,2018/11/26 00:00:00+00,,routine
39073609,4B90B6A7-C81B-035E-F29BC82EC763B578,93.5,2018/11/26 00:00:00+00,,routine
39073610,496299,87.5,2018/11/21 00:00:00+00,,routine
39073611,940EFB76-5056-A20B-FA39499A3ADC67F6,92,2018/11/21 00:00:00+00,,routine
39073612,508968,92,2018/11/21 00:00:00+00,,routine
39073613,36A7696A-5056-A20F-9E0E897119B6B1BA,95,2018/11/21 00:00:00+00,,routine
39073614,4EC409C2-0297-1C1F-EB18BA9EDC0E5037,95,2018/11/21 00:00:00+00,,routine
39073615,0686332A-1422-201B-1921E27F28651CDF,95.5,2018/11/21 00:00:00+00,,routine
39073616,4FF39354-EEC3-FEFC-F081BFDC8FCB2726,96.5,2018/11/21 00:00:00+00,,routine
39073617,496251,97,2018/11/21 00:00:00+00,,routine
39073618,4E319C20-5056-A20F-9E7CD8054D65F037,97,2018/11/21 00:00:00+00,,routine
39073619,5C780583-0999-AB22-64F752E63FC1E85E,97,2018/11/21 00:00:00+00,,routine
39073620,B2EED1ED-DCB2-2977-C956EC4628CFBA28,97,2018/11/21 00:00:00+00,,routine
39073621,497763,94.5,2019/03/22 00:00:00+00,,routine
39073622,BD0A7592-AB43-52DE-C8289FEB2491725F,97,2018/11/21 00:00:00+00,,routine
39073623,165CCE00-EC65-1522-3527107131974260,97.5,2018/11/21 00:00:00+00,,followup
39073624,528014,97.5,2018/11/21 00:00:00+00,,routine
39073625,B6B0BA5D-3048-94EE-98478BD231A27421,98,2018/11/21 00:00:00+00,,routine
39073626,13092C0D-1041-1333-F4A614B161E3451A,98.5,2018/11/21 00:00:00+00,,routine
39073627,495454,98.5,2018/11/21 00:00:00+00,,routine
39073628,526554,98.5,2018/11/21 00:00:00+00,,routine
39073629,4AC07869-A871-4D6A-8E9364532DA501B9,99.5,2018/11/21 00:00:00+00,,routine
39073630,721C0BA1-A335-B733-30F35681778C1A94,99.5,2018/11/21 00:00:00+00,,routine
39073631,503835,99,2018/11/21 00:00:00+00,,routine
39073632,DA8F7FFF-5056-A20F-9E96399838811FCA,88,2018/11/27 00:00:00+00,,routine
39073633,972DF423-5056-A20F-9E6F3DBB995396D4,87.5,2019/07/15 00:00:00+00,,routine
39073634,A799E236-F115-4AA0-947D1D2EAB69FDBC,86.5,2019/07/12 00:00:00+00,,followup
39073635,4C9BE68D-0A79-4BF6-6F639DD656B9098B,95,2018/11/26 00:00:00+00,,routine
39073636,229243AD-BDB1-D108-8B281A24E6E770AC,95.5,2018/11/26 00:00:00+00,,routine
39073637,1ACED7E5-0774-3EEF-D8658A530CE70A95,96,2018/11/26 00:00:00+00,,routine
39073638,BAF57704-1422-201B-194EA2F8D7034481,96,2018/11/26 00:00:00+00,,followup
39073639,500166,96,2018/11/26 00:00:00+00,,routine
39073640,501502,96,2018/11/26 00:00:00+00,,routine
39073641,0ADF44D6-945D-E172-89AC65F2DFE2C98B,96.5,2018/11/26 00:00:00+00,,routine
